taxonID,nameID,accordingToID,status,referenceID,remarks
66,67,,synonym,,"An unjustified emendation of Adrasteia Chambers, 1872."
66,68,,synonym,,"An incorrect subsequent spelling of Adrasteia Chambers, 1872."
69,70,,synonym,,"An incorrect subsequent spelling of Adrasteia alexandriacella Chambers, 1872."
69,71,,synonym,,"An unjustified emendation of Adrasteia alexandriacella Chambers, 1872."
73,74,,synonym,,"An incorrect subsequent spelling of Adullamitis Meyrick, 1932."
80,81,,synonym,,
84,85,,synonym,,"A junior subjective synonym of Agnippe Chambers, 1872 (Lee & Brown 2008: 11, 48)."
84,86,,synonym,,"A junior homonym of Phaetusa Wagler, 1832 (Aves) and a junior subjective synonym of Evippe Chambers, 1873 (Busck [1903a]: 500), Agnippe Chambers, 1872 (Lee & Brown 2008: 11, 48)."
84,87,,synonym,,"An incorrect subsequent spelling of Agnippe Chambers, 1872."
84,88,,synonym,,"A junior subjective synonym of Evippe Chambers, 1873 (Clarke 1955: 19), Agnippe Chambers, 1872 (Lee & Brown 2008: 11, 48}."
89,90,,synonym,,
91,92,,synonym,,
93,94,,synonym,,
93,95,,synonym,,"An incorrect subsequent spelling of Recurvaria albidorsella Snellen, 1884."
93,96,,synonym,,"An incorrect subsequent spelling of Recurvaria albidorsella Snellen, 1884."
97,98,,synonym,,
99,100,,synonym,,"An unjustified emendation of Agnippe biscolorella Chambers, 1872."
101,102,,synonym,,
101,103,,synonym,,"A junior subjective synonym of Lita conjugella Caradja 1920 (Bidzilya & Li 2010a: 247, 262 (Agnippe))."
106,107,,synonym,,
108,109,,synonym,,
112,113,,synonym,,
115,116,,synonym,,
115,117,,synonym,,"A junior subjective synonym of Evippe kuznetzovi Lvovsky & Piskunov, 1989 (Bidzilya & Li 2010a: 247, 259 (Agnippe))."
118,119,,synonym,,
120,121,,synonym,,
120,122,,synonym,,"A junior subjective synonym of Gelechia (Teleia) leuconota Zeller, 1873 (Busck [1903a]: 500 (Evippe))."
123,124,,synonym,,
